borough_name,neighborhood_name,bus_route_ids,total_violations,bus_lane_violations,bus_stop_violations,double_parked_violations,avg_speed,avg_total_ridership
Bronx,Bedford Park,"['BX41+', 'BX28']",40057,22965.0,6711.0,10381.0,8.136487444117648,2698185.0
Bronx,Belmont,"['BX12+', 'BX19', 'BX41+']",57927,39526.0,8870.0,9531.0,8.083061902941177,6527196.0
Bronx,Bronx Park,"['Q44+', 'BX12+', 'BX19', 'BX28-BX38', 'BX41+']",986,1.0,423.0,562.0,8.411771114202526,7321899.0
Bronx,Castle Hill-Unionport,"['BX5', 'BX36', 'Q44+']",36846,0.0,7833.0,29013.0,8.301420946107571,6336072.0
Bronx,Claremont Village-Claremont (East),"['BX35', 'BX41+']",36684,25854.0,4298.0,6532.0,7.290596322111345,3184700.0
Bronx,Co-op City,"['BX12+', 'BX28', 'BX38']",52855,0.0,14215.0,38640.0,8.087440804761904,4801927.0
Bronx,Concourse-Concourse Village,"['BX41+', 'BX35', 'BX19', 'BX6+']",59966,15602.0,12535.0,31829.0,7.066301837394958,4185214.0
Bronx,Crotona Park,['BX19'],514,0.0,41.0,473.0,5.92200628592437,7114236.0
Bronx,Crotona Park East,"['BX35', 'BX19']",51480,0.0,3926.0,47554.0,5.831223386239496,5395049.0
Bronx,Eastchester-Edenwald-Baychester,"['BX28-BX38', 'BX12+', 'BX5', 'BX28']",3940,845.0,1697.0,1398.0,8.660845322023809,5049517.0
Bronx,Ferry Point Park-St. Raymond Cemetery,['Q44+'],17,0.0,0.0,17.0,9.397898747986577,9706008.0
Bronx,Fordham Heights,"['BX12+', 'BX41+']",39529,31940.0,6478.0,1111.0,9.16358971144958,6233676.0
Bronx,Highbridge,"['BX36', 'BX35', 'BX6+']",3280,8.0,1.0,3271.0,6.648309008683474,4521128.0
Bronx,Hunts Point,"['BX5', 'BX19', 'BX6+']",54933,370.0,15983.0,38580.0,7.582633558543417,4347788.0
Bronx,Hutchinson Metro Center,['BX12+'],2,0.0,0.0,2.0,9.486427265231093,9773814.0
Bronx,Longwood,"['BX5', 'BX35', 'BX19', 'BX6+']",108420,135.0,26076.0,82209.0,7.122085290546218,4179806.0
Bronx,Melrose,"['BX41+', 'BX19']",70926,32449.0,21942.0,16535.0,7.381379221796219,4903888.0
Bronx,Morris Park,['BX12+'],974,838.0,125.0,11.0,9.486427265231093,9773814.0
Bronx,Morrisania,"['BX35', 'BX41+', 'BX6+']",49057,5453.0,10487.0,33117.0,7.4477336878851546,3208874.0
Bronx,Mott Haven-Port Morris,"['BX41+', 'BX19']",29760,14644.0,7056.0,8060.0,7.381379221796219,4903888.0
Bronx,Mount Eden-Claremont (West),"['BX36', 'BX35', 'BX41+']",14188,11230.0,1968.0,990.0,7.007890254761905,4333234.0
Bronx,Mount Hope,"['BX36', 'BX41+']",54481,29557.0,14106.0,10818.0,7.641615138865546,4661921.0
Bronx,Norwood,"['BX28-BX38', 'BX41+', 'BX28']",60018,17222.0,16347.0,26449.0,8.136487444117648,2698185.0
Bronx,Parkchester,"['BX36', 'Q44+']",15595,0.0,2314.0,13281.0,7.920188434024801,8168155.0
Bronx,Pelham Bay Park,"['BX5', 'BX12+']",3415,1.0,700.0,2714.0,9.275156617752101,6222860.0
Bronx,Pelham Bay-Country Club-City Island,"['BX5', 'BX12+']",245,0.0,227.0,18.0,9.275156617752101,6222860.0
Bronx,Pelham Gardens,"['BX28-BX38', 'BX28']",4449,1965.0,2222.0,262.0,7.4322227305672275,2702830.0
Bronx,Pelham Parkway-Van Nest,"['BX36', 'BX12+']",6288,364.0,549.0,5375.0,7.964452692647059,8202058.0
Bronx,Soundview Park,['BX5'],1,1.0,0.0,0.0,9.063885970273109,2671906.0
Bronx,Soundview-Bruckner-Bronx River,"['BX5', 'BX36', 'Q44+']",25587,114.0,5193.0,20280.0,8.301420946107571,6336072.0
