borough_name,neighborhood_name,bus_route_ids,total_violations,bus_lane_violations,bus_stop_violations,double_parked_violations
Bronx,Bedford Park,"['BX41+', 'BX28']",40057,22965.0,6711.0,10381.0
Bronx,Belmont,"['BX19', 'BX41+', 'BX12+']",57927,39526.0,8870.0,9531.0
Bronx,Bronx Park,"['BX19', 'BX41+', 'BX28-BX38', 'BX12+', 'Q44+']",986,1.0,423.0,562.0
Bronx,Castle Hill-Unionport,"['BX5', 'Q44+', 'BX36']",36846,0.0,7833.0,29013.0
Bronx,Claremont Village-Claremont (East),"['BX41+', 'BX35']",36684,25854.0,4298.0,6532.0
Bronx,Co-op City,"['BX28', 'BX38', 'BX12+']",52855,0.0,14215.0,38640.0
Bronx,Concourse-Concourse Village,"['BX19', 'BX35', 'BX6+', 'BX41+']",59966,15602.0,12535.0,31829.0
Bronx,Crotona Park,['BX19'],514,0.0,41.0,473.0
Bronx,Crotona Park East,"['BX19', 'BX35']",51480,0.0,3926.0,47554.0
Bronx,Eastchester-Edenwald-Baychester,"['BX5', 'BX28-BX38', 'BX28', 'BX12+']",3940,845.0,1697.0,1398.0
Bronx,Ferry Point Park-St. Raymond Cemetery,['Q44+'],17,0.0,0.0,17.0
Bronx,Fordham Heights,"['BX41+', 'BX12+']",39529,31940.0,6478.0,1111.0
Bronx,Highbridge,"['BX35', 'BX6+', 'BX36']",3280,8.0,1.0,3271.0
Bronx,Hunts Point,"['BX19', 'BX6+', 'BX5']",54933,370.0,15983.0,38580.0
Bronx,Hutchinson Metro Center,['BX12+'],2,0.0,0.0,2.0
Bronx,Longwood,"['BX19', 'BX35', 'BX6+', 'BX5']",108420,135.0,26076.0,82209.0
Bronx,Melrose,"['BX19', 'BX41+']",70926,32449.0,21942.0,16535.0
Bronx,Morris Park,['BX12+'],974,838.0,125.0,11.0
Bronx,Morrisania,"['BX41+', 'BX35', 'BX6+']",49057,5453.0,10487.0,33117.0
Bronx,Mott Haven-Port Morris,"['BX19', 'BX41+']",29760,14644.0,7056.0,8060.0
Bronx,Mount Eden-Claremont (West),"['BX41+', 'BX35', 'BX36']",14188,11230.0,1968.0,990.0
Bronx,Mount Hope,"['BX41+', 'BX36']",54481,29557.0,14106.0,10818.0
Bronx,Norwood,"['BX41+', 'BX28-BX38', 'BX28']",60018,17222.0,16347.0,26449.0
Bronx,Parkchester,"['Q44+', 'BX36']",15595,0.0,2314.0,13281.0
Bronx,Pelham Bay Park,"['BX5', 'BX12+']",3415,1.0,700.0,2714.0
Bronx,Pelham Bay-Country Club-City Island,"['BX5', 'BX12+']",245,0.0,227.0,18.0
Bronx,Pelham Gardens,"['BX28-BX38', 'BX28']",4449,1965.0,2222.0,262.0
Bronx,Pelham Parkway-Van Nest,"['BX36', 'BX12+']",6288,364.0,549.0,5375.0
Bronx,Soundview Park,['BX5'],1,1.0,0.0,0.0
Bronx,Soundview-Bruckner-Bronx River,"['BX5', 'Q44+', 'BX36']",25587,114.0,5193.0,20280.0
Bronx,Soundview-Clason Point,"['BX5', 'BX36']",18126,4309.0,1296.0,12521.0
Bronx,Throgs Neck-Schuylerville,['BX5'],111,0.0,35.0,76.0
Bronx,Tremont,"['BX19', 'BX36']",51621,0.0,15881.0,35740.0
Bronx,University Heights (North)-Fordham,"['BX28', 'BX12+']",67741,44190.0,13896.0,9655.0
Bronx,University Heights (South)-Morris Heights,['BX36'],34405,17834.0,4987.0,11584.0
Bronx,West Farms,"['BX19', 'Q44+', 'BX36']",26839,0.0,10615.0,16224.0
Bronx,Westchester Square,['Q44+'],18,0.0,9.0,9.0
Bronx,Williamsbridge-Olinville,"['BX41+', 'BX28-BX38', 'BX28']",5640,1654.0,1867.0,2119.0
Bronx,Yankee Stadium-Macombs Dam Park,['BX6+'],391,60.0,312.0,19.0
Brooklyn,Bath Beach,['B82+'],2550,0.0,1216.0,1334.0
Brooklyn,Bay Ridge,['S79+'],12660,0.0,2658.0,10002.0
Brooklyn,Bedford-Stuyvesant (East),"['B25', 'B46+', 'B26']",18841,268.0,14341.0,4232.0
Brooklyn,Bedford-Stuyvesant (West),"['B25', 'B26', 'B46+', 'ABLE', 'B44+']",37733,11392.0,19184.0,7157.0
Brooklyn,Bensonhurst,['B82+'],5788,0.0,3221.0,2567.0
Brooklyn,Borough Park,"['B35', 'S46']",13294,0.0,5618.0,7676.0
Brooklyn,Brooklyn Heights,"['B25', 'B41']",1005,0.0,787.0,218.0
Brooklyn,Brooklyn Navy Yard,['B62'],254,0.0,52.0,202.0
Brooklyn,Brownsville,"['B35', 'S46']",6976,0.0,3935.0,3041.0
Brooklyn,Bushwick (East),"['B26', 'Q58']",6627,0.0,5509.0,1118.0
Brooklyn,Canarsie,"['B82+', 'B42']",36264,6041.0,17843.0,12380.0
Brooklyn,Clinton Hill,"['B25', 'B62', 'B26']",9437,7082.0,1249.0,1106.0
Brooklyn,Crown Heights (North),"['B46+', 'B44+', 'ABLE']",24590,14069.0,8165.0,2356.0
Brooklyn,Crown Heights (South),"['B46+', 'B44+', 'ABLE']",33324,22700.0,7636.0,2988.0
Brooklyn,Cypress Hills,['B25'],3,0.0,0.0,3.0
Brooklyn,Downtown Brooklyn-DUMBO-Boerum Hill,"['B25', 'B41', 'B62', 'B26']",35544,10786.0,20253.0,4505.0
Brooklyn,East Flatbush-Erasmus,"['B46+', 'B35', 'B41', 'ABLE', 'B44+', 'S46']",48564,5580.0,27202.0,15782.0
Brooklyn,East Flatbush-Farragut,"['B46+', 'B44+', 'ABLE']",25663,20016.0,3167.0,2480.0
Brooklyn,East Flatbush-Remsen Village,"['B35', 'S46']",15111,0.0,8737.0,6374.0
Brooklyn,East Flatbush-Rugby,"['B46+', 'B35', 'S46', 'ABLE']",91441,39212.0,29941.0,22288.0
Brooklyn,East New York (North),['B25'],791,0.0,784.0,7.0
Brooklyn,East New York-New Lots,['B82+'],988,0.0,254.0,734.0
Brooklyn,East Williamsburg,['Q54'],7029,0.0,4999.0,2030.0
Brooklyn,Flatbush,"['B35', 'B41', 'ABLE', 'B44+', 'S46']",88634,31724.0,25178.0,31732.0
Brooklyn,Flatbush (West)-Ditmas Park-Parkville,"['B35', 'S46']",6649,2375.0,2061.0,2213.0
Brooklyn,Flatlands,"['B82+', 'B46+', 'B41', 'ABLE', 'B44+']",72237,24941.0,25151.0,22145.0
Brooklyn,Fort Greene,"['B25', 'B41', 'B62', 'B26']",22321,14771.0,6581.0,969.0
Brooklyn,Fort Hamilton,['S79+'],31,0.0,0.0,31.0
Brooklyn,Gravesend (East)-Homecrest,['B82+'],16939,913.0,9913.0,6113.0
Brooklyn,Gravesend (West),['B82+'],26363,1709.0,12815.0,11839.0
Brooklyn,Greenpoint,['B62'],2308,0.0,2082.0,226.0
Brooklyn,Kensington,"['B35', 'S46']",17641,1373.0,10952.0,5316.0
Brooklyn,Madison,"['B82+', 'B44+']",21441,3091.0,9025.0,9325.0
Brooklyn,Marine Park-Mill Basin-Bergen Beach,"['B82+', 'B46+', 'B41', 'B44+']",14379,5.0,9204.0,5170.0
Brooklyn,Midwood,"['B82+', 'B44+']",13681,207.0,4183.0,9291.0
Brooklyn,Ocean Hill,"['B25', 'B26']",3758,0.0,2634.0,1124.0
Brooklyn,Park Slope,['B41'],5874,77.0,5331.0,466.0
Brooklyn,Prospect Heights,['B41'],4389,0.0,3886.0,503.0
Brooklyn,Prospect Lefferts Gardens-Wingate,"['B46+', 'B41', 'B44+', 'ABLE']",18604,5581.0,7104.0,5919.0
Brooklyn,Prospect Park,['B41'],1359,0.0,1011.0,348.0
