id,BoroName,NTAName,Bus Route ID,Violation Type,count
0,Brooklyn,Greenpoint,B62,MOBILE BUS STOP,2082
0,Brooklyn,Greenpoint,B62,MOBILE DOUBLE PARKED,226
1,Brooklyn,Williamsburg,B44+,MOBILE BUS STOP,260
1,Brooklyn,Williamsburg,B44+,MOBILE DOUBLE PARKED,649
1,Brooklyn,Williamsburg,B62,MOBILE BUS STOP,3314
1,Brooklyn,Williamsburg,B62,MOBILE DOUBLE PARKED,331
1,Brooklyn,Williamsburg,Q54,MOBILE BUS STOP,5129
1,Brooklyn,Williamsburg,Q54,MOBILE DOUBLE PARKED,315
10,Brooklyn,Bedford-Stuyvesant (East),B25,MOBILE BUS STOP,1084
10,Brooklyn,Bedford-Stuyvesant (East),B25,MOBILE DOUBLE PARKED,536
10,Brooklyn,Bedford-Stuyvesant (East),B26,MOBILE BUS STOP,2917
10,Brooklyn,Bedford-Stuyvesant (East),B26,MOBILE DOUBLE PARKED,1077
10,Brooklyn,Bedford-Stuyvesant (East),B46+,MOBILE BUS LANE,268
10,Brooklyn,Bedford-Stuyvesant (East),B46+,MOBILE BUS STOP,10340
10,Brooklyn,Bedford-Stuyvesant (East),B46+,MOBILE DOUBLE PARKED,2619
100,Bronx,Westchester Square,Q44+,MOBILE BUS STOP,9
100,Bronx,Westchester Square,Q44+,MOBILE DOUBLE PARKED,9
101,Bronx,Throgs Neck-Schuylerville,BX5,MOBILE BUS STOP,35
101,Bronx,Throgs Neck-Schuylerville,BX5,MOBILE DOUBLE PARKED,76
102,Bronx,Pelham Bay-Country Club-City Island,BX12+,MOBILE BUS STOP,214
102,Bronx,Pelham Bay-Country Club-City Island,BX12+,MOBILE DOUBLE PARKED,9
102,Bronx,Pelham Bay-Country Club-City Island,BX5,MOBILE BUS STOP,13
102,Bronx,Pelham Bay-Country Club-City Island,BX5,MOBILE DOUBLE PARKED,9
103,Bronx,Co-op City,BX12+,MOBILE BUS STOP,1174
103,Bronx,Co-op City,BX12+,MOBILE DOUBLE PARKED,2094
103,Bronx,Co-op City,BX28,MOBILE BUS STOP,5520
103,Bronx,Co-op City,BX28,MOBILE DOUBLE PARKED,14189
103,Bronx,Co-op City,BX38,MOBILE BUS STOP,7521
103,Bronx,Co-op City,BX38,MOBILE DOUBLE PARKED,22357
105,Bronx,Ferry Point Park-St. Raymond Cemetery,Q44+,MOBILE DOUBLE PARKED,17
106,Bronx,Pelham Parkway-Van Nest,BX12+,MOBILE BUS LANE,364
106,Bronx,Pelham Parkway-Van Nest,BX12+,MOBILE BUS STOP,82
106,Bronx,Pelham Parkway-Van Nest,BX12+,MOBILE DOUBLE PARKED,9
106,Bronx,Pelham Parkway-Van Nest,BX36,MOBILE BUS STOP,467
106,Bronx,Pelham Parkway-Van Nest,BX36,MOBILE DOUBLE PARKED,5366
107,Bronx,Morris Park,BX12+,MOBILE BUS LANE,838
107,Bronx,Morris Park,BX12+,MOBILE BUS STOP,125
107,Bronx,Morris Park,BX12+,MOBILE DOUBLE PARKED,11
108,Bronx,Pelham Gardens,BX28,MOBILE BUS LANE,1200
108,Bronx,Pelham Gardens,BX28,MOBILE BUS STOP,2222
108,Bronx,Pelham Gardens,BX28,MOBILE DOUBLE PARKED,262
108,Bronx,Pelham Gardens,BX28-BX38,MOBILE BUS LANE,765
110,Bronx,Hutchinson Metro Center,BX12+,MOBILE DOUBLE PARKED,2
111,Bronx,Williamsbridge-Olinville,BX28,MOBILE BUS LANE,631
111,Bronx,Williamsbridge-Olinville,BX28,MOBILE BUS STOP,952
111,Bronx,Williamsbridge-Olinville,BX28,MOBILE DOUBLE PARKED,1633
111,Bronx,Williamsbridge-Olinville,BX28-BX38,MOBILE BUS LANE,1023
111,Bronx,Williamsbridge-Olinville,BX41+,MOBILE BUS STOP,915
111,Bronx,Williamsbridge-Olinville,BX41+,MOBILE DOUBLE PARKED,486
112,Bronx,Eastchester-Edenwald-Baychester,BX12+,MOBILE BUS STOP,1060
112,Bronx,Eastchester-Edenwald-Baychester,BX12+,MOBILE DOUBLE PARKED,58
112,Bronx,Eastchester-Edenwald-Baychester,BX28,MOBILE BUS LANE,328
112,Bronx,Eastchester-Edenwald-Baychester,BX28,MOBILE BUS STOP,625
112,Bronx,Eastchester-Edenwald-Baychester,BX28,MOBILE DOUBLE PARKED,1340
112,Bronx,Eastchester-Edenwald-Baychester,BX28-BX38,MOBILE BUS LANE,517
112,Bronx,Eastchester-Edenwald-Baychester,BX5,MOBILE BUS STOP,12
116,Bronx,Bronx Park,BX12+,MOBILE BUS STOP,65
116,Bronx,Bronx Park,BX12+,MOBILE DOUBLE PARKED,22
116,Bronx,Bronx Park,BX19,MOBILE BUS STOP,153
116,Bronx,Bronx Park,BX19,MOBILE DOUBLE PARKED,532
116,Bronx,Bronx Park,BX28-BX38,MOBILE BUS LANE,1
116,Bronx,Bronx Park,BX41+,MOBILE DOUBLE PARKED,2
116,Bronx,Bronx Park,Q44+,MOBILE BUS STOP,205
116,Bronx,Bronx Park,Q44+,MOBILE DOUBLE PARKED,6
117,Bronx,Pelham Bay Park,BX12+,MOBILE BUS STOP,597
117,Bronx,Pelham Bay Park,BX12+,MOBILE DOUBLE PARKED,2700
117,Bronx,Pelham Bay Park,BX5,MOBILE BUS LANE,1
117,Bronx,Pelham Bay Park,BX5,MOBILE BUS STOP,103
117,Bronx,Pelham Bay Park,BX5,MOBILE DOUBLE PARKED,14
118,Manhattan,Financial District-Battery Park City,M15+,MOBILE BUS STOP,21886
118,Manhattan,Financial District-Battery Park City,M15+,MOBILE DOUBLE PARKED,8579
119,Manhattan,Tribeca-Civic Center,M15+,MOBILE BUS STOP,3506
119,Manhattan,Tribeca-Civic Center,M15+,MOBILE DOUBLE PARKED,1708
12,Brooklyn,Bushwick (East),B26,MOBILE BUS STOP,5093
12,Brooklyn,Bushwick (East),B26,MOBILE DOUBLE PARKED,1051
12,Brooklyn,Bushwick (East),Q58,MOBILE BUS STOP,416
12,Brooklyn,Bushwick (East),Q58,MOBILE DOUBLE PARKED,67
122,Manhattan,Greenwich Village,ABLE,MOBILE BUS LANE,10
122,Manhattan,Greenwich Village,M14+,MOBILE BUS LANE,1601
122,Manhattan,Greenwich Village,M14+,MOBILE BUS STOP,1652
122,Manhattan,Greenwich Village,M14+,MOBILE DOUBLE PARKED,16
122,Manhattan,Greenwich Village,M2,MOBILE BUS STOP,468
122,Manhattan,Greenwich Village,M2,MOBILE DOUBLE PARKED,62
123,Manhattan,West Village,ABLE,MOBILE BUS LANE,18
123,Manhattan,West Village,M14+,MOBILE BUS LANE,1228
123,Manhattan,West Village,M14+,MOBILE BUS STOP,1781
123,Manhattan,West Village,M14+,MOBILE DOUBLE PARKED,173
124,Manhattan,Chinatown-Two Bridges,M15+,MOBILE BUS LANE,386
124,Manhattan,Chinatown-Two Bridges,M15+,MOBILE BUS STOP,13689
124,Manhattan,Chinatown-Two Bridges,M15+,MOBILE DOUBLE PARKED,9123
125,Manhattan,Lower East Side,ABLE,MOBILE BUS LANE,82
125,Manhattan,Lower East Side,M14+,MOBILE BUS LANE,677
125,Manhattan,Lower East Side,M14+,MOBILE BUS STOP,3709
125,Manhattan,Lower East Side,M14+,MOBILE DOUBLE PARKED,2236
125,Manhattan,Lower East Side,M15+,MOBILE BUS LANE,3949
125,Manhattan,Lower East Side,M15+,MOBILE BUS STOP,2478
125,Manhattan,Lower East Side,M15+,MOBILE DOUBLE PARKED,785
126,Manhattan,East Village,ABLE,MOBILE BUS LANE,1056
126,Manhattan,East Village,M101,MOBILE BUS STOP,3012
126,Manhattan,East Village,M101,MOBILE DOUBLE PARKED,1659
126,Manhattan,East Village,M14+,MOBILE BUS LANE,22503
126,Manhattan,East Village,M14+,MOBILE BUS STOP,5121
126,Manhattan,East Village,M14+,MOBILE DOUBLE PARKED,963
126,Manhattan,East Village,M15+,MOBILE BUS LANE,21450
126,Manhattan,East Village,M15+,MOBILE BUS STOP,8515
126,Manhattan,East Village,M15+,MOBILE DOUBLE PARKED,445
126,Manhattan,East Village,M2,MOBILE BUS STOP,116
126,Manhattan,East Village,M2,MOBILE DOUBLE PARKED,25
127,Manhattan,Chelsea-Hudson Yards,ABLE,MOBILE BUS LANE,88
127,Manhattan,Chelsea-Hudson Yards,M14+,MOBILE BUS LANE,1319
127,Manhattan,Chelsea-Hudson Yards,M14+,MOBILE BUS STOP,577
127,Manhattan,Chelsea-Hudson Yards,M14+,MOBILE DOUBLE PARKED,10
127,Manhattan,Chelsea-Hudson Yards,M23+,MOBILE BUS LANE,2399
127,Manhattan,Chelsea-Hudson Yards,M23+,MOBILE BUS STOP,3270
127,Manhattan,Chelsea-Hudson Yards,M23+,MOBILE DOUBLE PARKED,585
127,Manhattan,Chelsea-Hudson Yards,M34+,MOBILE BUS LANE,1939
127,Manhattan,Chelsea-Hudson Yards,M34+,MOBILE BUS STOP,365
127,Manhattan,Chelsea-Hudson Yards,M34+,MOBILE DOUBLE PARKED,47
127,Manhattan,Chelsea-Hudson Yards,M42,MOBILE BUS LANE,71
127,Manhattan,Chelsea-Hudson Yards,M42,MOBILE BUS STOP,88
127,Manhattan,Chelsea-Hudson Yards,M42,MOBILE DOUBLE PARKED,7
128,Manhattan,Hell's Kitchen,M42,MOBILE BUS LANE,1744
128,Manhattan,Hell's Kitchen,M42,MOBILE BUS STOP,305
128,Manhattan,Hell's Kitchen,M42,MOBILE DOUBLE PARKED,91
129,Manhattan,Midtown South-Flatiron-Union Square,ABLE,MOBILE BUS LANE,130
129,Manhattan,Midtown South-Flatiron-Union Square,M14+,MOBILE BUS LANE,998
129,Manhattan,Midtown South-Flatiron-Union Square,M14+,MOBILE BUS STOP,1163
129,Manhattan,Midtown South-Flatiron-Union Square,M14+,MOBILE DOUBLE PARKED,11
129,Manhattan,Midtown South-Flatiron-Union Square,M2,MOBILE BUS LANE,21
129,Manhattan,Midtown South-Flatiron-Union Square,M2,MOBILE BUS STOP,1240
129,Manhattan,Midtown South-Flatiron-Union Square,M2,MOBILE DOUBLE PARKED,47
129,Manhattan,Midtown South-Flatiron-Union Square,M23+,MOBILE BUS LANE,2315
129,Manhattan,Midtown South-Flatiron-Union Square,M23+,MOBILE BUS STOP,250
129,Manhattan,Midtown South-Flatiron-Union Square,M23+,MOBILE DOUBLE PARKED,24
129,Manhattan,Midtown South-Flatiron-Union Square,M34+,MOBILE BUS LANE,5077
129,Manhattan,Midtown South-Flatiron-Union Square,M34+,MOBILE BUS STOP,3927
129,Manhattan,Midtown South-Flatiron-Union Square,M34+,MOBILE DOUBLE PARKED,36
129,Manhattan,Midtown South-Flatiron-Union Square,M4,MOBILE BUS STOP,111
129,Manhattan,Midtown South-Flatiron-Union Square,M4,MOBILE DOUBLE PARKED,4
130,Manhattan,Midtown-Times Square,ABLE,MOBILE BUS LANE,32
130,Manhattan,Midtown-Times Square,M2,MOBILE BUS LANE,1597
130,Manhattan,Midtown-Times Square,M2,MOBILE BUS STOP,2699
130,Manhattan,Midtown-Times Square,M2,MOBILE DOUBLE PARKED,5
130,Manhattan,Midtown-Times Square,M34+,MOBILE BUS LANE,1960
130,Manhattan,Midtown-Times Square,M34+,MOBILE BUS STOP,1208
130,Manhattan,Midtown-Times Square,M34+,MOBILE DOUBLE PARKED,3
130,Manhattan,Midtown-Times Square,M42,MOBILE BUS LANE,1725
130,Manhattan,Midtown-Times Square,M42,MOBILE BUS STOP,371
130,Manhattan,Midtown-Times Square,M42,MOBILE DOUBLE PARKED,7
131,Manhattan,Stuyvesant Town-Peter Cooper Village,ABLE,MOBILE BUS LANE,144
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M14+,MOBILE BUS LANE,3104
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M14+,MOBILE BUS STOP,92
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M14+,MOBILE DOUBLE PARKED,2
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M15+,MOBILE BUS LANE,429
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M15+,MOBILE BUS STOP,6
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M23+,MOBILE BUS LANE,90
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M23+,MOBILE BUS STOP,240
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M23+,MOBILE DOUBLE PARKED,87
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M34+,MOBILE BUS STOP,7
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M34+,MOBILE DOUBLE PARKED,1
132,Manhattan,Gramercy,ABLE,MOBILE BUS LANE,1538
132,Manhattan,Gramercy,M101,MOBILE BUS STOP,8535
132,Manhattan,Gramercy,M101,MOBILE DOUBLE PARKED,10467
132,Manhattan,Gramercy,M14+,MOBILE BUS LANE,14501
132,Manhattan,Gramercy,M14+,MOBILE BUS STOP,494
132,Manhattan,Gramercy,M14+,MOBILE DOUBLE PARKED,10
132,Manhattan,Gramercy,M15+,MOBILE BUS LANE,54043
132,Manhattan,Gramercy,M15+,MOBILE BUS STOP,3182
132,Manhattan,Gramercy,M15+,MOBILE DOUBLE PARKED,586
132,Manhattan,Gramercy,M2,MOBILE BUS STOP,286
132,Manhattan,Gramercy,M2,MOBILE DOUBLE PARKED,29
132,Manhattan,Gramercy,M23+,MOBILE BUS LANE,4220
132,Manhattan,Gramercy,M23+,MOBILE BUS STOP,2800
132,Manhattan,Gramercy,M23+,MOBILE DOUBLE PARKED,90
132,Manhattan,Gramercy,M34+,MOBILE BUS STOP,863
132,Manhattan,Gramercy,M34+,MOBILE DOUBLE PARKED,166
133,Manhattan,Murray Hill-Kips Bay,ABLE,MOBILE BUS LANE,714
133,Manhattan,Murray Hill-Kips Bay,M101,MOBILE BUS LANE,1654
133,Manhattan,Murray Hill-Kips Bay,M101,MOBILE BUS STOP,9734
133,Manhattan,Murray Hill-Kips Bay,M101,MOBILE DOUBLE PARKED,2404
133,Manhattan,Murray Hill-Kips Bay,M15+,MOBILE BUS LANE,45224
133,Manhattan,Murray Hill-Kips Bay,M15+,MOBILE BUS STOP,10959
133,Manhattan,Murray Hill-Kips Bay,M15+,MOBILE DOUBLE PARKED,571
133,Manhattan,Murray Hill-Kips Bay,M23+,MOBILE BUS STOP,35
133,Manhattan,Murray Hill-Kips Bay,M23+,MOBILE DOUBLE PARKED,1
133,Manhattan,Murray Hill-Kips Bay,M34+,MOBILE BUS LANE,1499
133,Manhattan,Murray Hill-Kips Bay,M34+,MOBILE BUS STOP,5023
133,Manhattan,Murray Hill-Kips Bay,M34+,MOBILE DOUBLE PARKED,1837
133,Manhattan,Murray Hill-Kips Bay,M42,MOBILE BUS LANE,512
133,Manhattan,Murray Hill-Kips Bay,M42,MOBILE BUS STOP,349
133,Manhattan,Murray Hill-Kips Bay,M42,MOBILE DOUBLE PARKED,3
134,Manhattan,East Midtown-Turtle Bay,ABLE,MOBILE BUS LANE,394
134,Manhattan,East Midtown-Turtle Bay,M101,MOBILE BUS LANE,5212
134,Manhattan,East Midtown-Turtle Bay,M101,MOBILE BUS STOP,4983
134,Manhattan,East Midtown-Turtle Bay,M101,MOBILE DOUBLE PARKED,220
134,Manhattan,East Midtown-Turtle Bay,M15+,MOBILE BUS LANE,26632
134,Manhattan,East Midtown-Turtle Bay,M15+,MOBILE BUS STOP,4212
134,Manhattan,East Midtown-Turtle Bay,M15+,MOBILE DOUBLE PARKED,613
134,Manhattan,East Midtown-Turtle Bay,M42,MOBILE BUS LANE,29
134,Manhattan,East Midtown-Turtle Bay,M42,MOBILE BUS STOP,427
135,Manhattan,United Nations,ABLE,MOBILE BUS LANE,73
135,Manhattan,United Nations,M15+,MOBILE BUS LANE,5261
135,Manhattan,United Nations,M15+,MOBILE BUS STOP,303
135,Manhattan,United Nations,M15+,MOBILE DOUBLE PARKED,14
137,Manhattan,Upper West Side (Central),ABLE,MOBILE BUS LANE,22
137,Manhattan,Upper West Side (Central),M79+,MOBILE BUS LANE,1114
137,Manhattan,Upper West Side (Central),M79+,MOBILE BUS STOP,3474
137,Manhattan,Upper West Side (Central),M79+,MOBILE DOUBLE PARKED,12404
137,Manhattan,Upper West Side (Central),M86+,MOBILE BUS LANE,2288
