route_id,total_mileage,total_operating_time,average_speed
SIM30,659293.48685,35971,18.793082404929578
BX18,244263.48474,35970,7.031250847945206
BX21,2270812.6288,327174,7.071270158403361
B38,2928743.6098,449989,6.653216120588235
B25,1675486.5116,265168,6.408367514705882
BX12+,3853873.1195,410036,9.482383119747899
Q10,3490791.3345,370242,9.428166185294118
M15,3134193.0764,476463,6.527145742857143
QM15,979267.55439,83262,12.324370586134454
Q15,592035.21601,60979,9.751268341666667
Q102,918456.96175,111831,8.341583295833333
BXM4,737383.68912,74604,10.193742977083333
Q40,763669.86284,96063,8.04999757605042
M3,2839527.7591,479165,6.191901648739496
BXM9,1657805.6617,127132,13.986561462184874
S79+,5612224.529084,370819,14.809330176678445
SIM1,1323757.71193,76446,17.821211151408451
X63,472849.272116,39927,12.58740197761194
Q3,3311929.6636,311623,10.686500214583333
B41,5060282.7938,734203,6.980909288655462
B3,2201320.4656,308547,7.165390681092437
BXM1,1802132.9472,151551,12.442038470833333
BX10,2554784.1916,289083,9.043765035294118
BX11,1812473.92793,302065,6.06142865210084
Q46,5170006.9858,438395,12.06829376875
M4,2936797.7548,507959,6.224428177310924
S98,265174.6698,24121,11.157954243801653
Q101,1036795.25641,120506,8.793993700833333
M72,699436.09609,115152,6.376667754621849
M9,956000.40837,155354,6.402378063445378
BX26,1155786.49792,155124,7.551697933613445
BX13,1176612.52501,185631,6.313717759243698
Q44+,6638955.083379,663047,9.479275395973154
Q20B,1066152.03488,150226,7.079626834328358
B8,3017476.6999,440290,6.984454524789916
Q59,1717403.3971,223675,7.804353768907563
M102,2122584.9456,357760,6.009617820168067
SIM5,786746.49728,43282,18.854544802816901
Q76,1769815.182,178807,10.234742920833333
B65,1105391.8789,162236,6.928972557142857
S96,264673.722201,21990,12.149092668032787
B47,2169887.5195,312876,6.950973872689076
Q56,1683310.7365,241733,7.044511640756302
BX1,2285646.007,331499,6.867014648739496
Q16,1098191.64466,103054,10.789485054166667
S81,59758.911964,4610,13.390016307692308
Q11,1250957.99514,115083,11.242810718487395
BX25,486747.5278,60434,8.166416900806452
SIM4C,1920361.1919,108937,17.749815872916667
BX31,1603581.14082,200647,8.178139476890756
SIM11,651380.09423,37200,18.210074133802817
M55,844875.22751,126984,6.785844596638656
QM42,80003.725794,6829,12.61121123364486
Q18,1311009.4298,187627,7.12780325125
M22,497250.58328,83511,6.12019806302521
M34+,505931.27706,93001,5.477255829411765
Q28,1899744.0078,202642,9.515217852083333
SIM1C,4474394.694,277266,16.153510179166667
BX4,796892.37767,125667,6.464671621008403
BX28,1945596.1806,262129,7.453010543277311
Q88,2997214.5316,266163,11.48601390625
M2,2672854.6971,392893,7.141732772689076
BXM11,1490742.6637,128417,12.168272252083333
BX36,3125478.9637,492017,6.447768807983193
S59,2043365.2403,155813,12.944454747916667
B32,345236.49441,39762,8.82200939789916
Q65,3737241.6815,450568,8.3888742075
Q1,1174650.213,126384,9.530643432083333
M7,2319551.7673,389555,5.963838386134454
M116,957381.69894,167980,5.696831778991597
S62,1689386.3025,133061,12.670051860416667
BX19,2810046.609,481848,5.88751672184874
Q67,919108.84815,96572,10.005026854166667
SIM4X,138118.29171,5988,24.172771888888889
SIM33,538100.657144,31178,18.042843084507042
Q114,2050045.5841,201783,10.17691893125
Q47,1559203.14356,217249,7.294501670416667
S92,181323.820196,15250,12.115346836065574
M20,875197.59444,140100,6.295921091596639
Q64,1260756.53657,144056,9.009784160833333
Q12,2131376.8839,236316,9.066442698333333
QM31,147642.197902,11469,13.954778952054794
SIM23,248444.33301,10955,23.866926272727273
M86+,1411296.636,231015,6.215405467226891
QM25,314816.705784,23149,14.627917875
Q8,2137844.7803,284805,7.656089225210084
Q50,1724476.06923,126047,13.903454292016807
Q66,2767971.2337,342192,8.003577602083333
Q2,1372755.895,152457,9.121574859583333
S66,717241.79208,60750,11.739101404929578
Q30,2685276.766,276986,10.249703501666667
BX22,1870312.9406,283322,6.703683057142857
Q15A,610514.40491,62640,9.822630635416667
BX8,1795537.3077,209744,8.846278831092437
BXM18,259193.903304,23880,11.578836620300752
M79+,1194434.193,186933,6.526726461764706
M5,2177550.28,303583,7.208481396218487
S89,485751.3424,28967,16.988402600694444
Q24,2135813.6583,278320,7.788061900840336
B82,3408184.5581,452584,7.425682632352941
B64,1506840.5599,183438,8.313252337815126
Q17,3829405.1026,440683,8.844524671666667
B37,904664.16187,115375,8.049751152521008
QM24,280361.041876,27650,10.863378951492537
B24,887582.3091,102830,8.864092285294118
Q104,344963.77063,52853,6.544297337916667
BM3,585541.2824,48629,12.505915
BX6,1932539.1098,272307,7.143404385294118
BX18B,163408.20154,25046,6.584484804166667
QM4,522136.9499,52248,10.571761752083333
S91,189776.36525,16429,11.736275166666667
B68,2746097.3679,354206,7.807029467647059
Q13,1752348.3508,195892,9.014562173333333
B46,3406119.3753,482717,7.075453765966387
BX17,1666572.3558,254761,6.67183025210084
M42,846007.30319,165373,5.160494905462185
X38,456261.123415,32882,14.726672390151515
BX3,1880973.49898,259451,7.275766522689076
B15,4664581.1902,560687,8.114738772689076
Q110,1573954.89654,184702,8.5751155275
Q7,1105546.81401,127430,8.879540794957983
SIM24,221416.240826,9423,24.606040818181818
SIM3,794225.51602,48474,17.125739045774648
Q111,2744723.2165,330708,8.48246864125
B44+,3019296.005695,339517,8.974783620921986
X64,235328.871086,20404,12.742925053030303
QM7,596761.161464,38006,16.708728992537313
BM2,942959.39928,81519,11.931781842436975
QM2,979251.45445,78396,13.022509170833333
Q33,884807.1174,139566,6.252195189583333
B70,1075617.77497,156542,6.99284301512605
M31,1206791.1751,228872,5.514671840336134
B42,550907.35663,72305,7.692650134453782
B17,2045266.2855,263293,7.886650342857143
BX35,1218710.19938,216851,5.771518958823529
BX30,1806986.4233,227066,8.022467587815126
M34A+,561497.16137,101896,5.600832886134454
SIM35,459902.870026,27872,17.198165700704225
Q25,3444226.4167,451553,7.58623994
QM36,110107.509174,7224,16.208749693181818
Q26,261622.92591,28286,9.498211378787879
Q39,1706083.5512,203361,8.776757962083333
QM6,755535.88914,58613,13.413289597916667
BX4A,619324.99694,100188,6.289406798739496
BX38,1046165.19146,146725,7.322180551260504
Q70+,2005338.1348,157262,12.76751678125
M10,1356460.768,219654,6.273850808403361
Q100,1463793.8755,122451,12.050543825
Q34,1030789.44743,140601,7.333861906716418
B39,161559.6352,15022,11.205155712184874
B83,1545825.7766,183652,8.555721365546218
M35,740338.95387,58722,12.546538243697479
BX46,302440.92546,29674,10.288089720588235
B45,1059743.54897,171446,6.321486714705882
