bus_route,total_ridership,total_transfers
B1,2974806,714678
B100,853581,328329
B103,1727739,429352
B106,3429,948
B11,1695747,345308
B111,281,76
B12,1337894,346471
B13,998647,236798
B14,529580,138369
B15,1729159,409493
B16,938450,186939
B17,1093913,347707
B2,327866,115020
B20,730464,204325
B24,419174,123106
B25,988728,282351
B26,1450012,294055
B3,1952752,515111
B31,405562,153624
B32,200891,53239
B35,3013853,823929
B36,1798349,444538
B37,378224,74694
B38,2899892,657963
B39,28288,14339
B4,1095939,204875
B41,3292792,853485
B42,231148,59576
B43,1339736,284455
B44,1976366,530083
B44+,1737300,432018
B45,622868,174922
B46,2116850,578734
B46+,1883377,563640
B47,1084044,253149
B48,540962,137985
B49,1620319,333668
B52,1617803,349483
B54,1204680,285366
B57,1266648,346435
B6,4268335,1209240
B60,1060215,213872
B61,1597596,522170
B62,1280160,333238
B63,2164115,426132
B64,938261,190371
B65,504903,107407
B67,774965,208575
B68,2235852,421946
B69,709659,184921
B7,632887,169024
B70,1204740,315583
B74,426663,172357
B8,2541033,629746
B82,2522259,654223
B82+,1542411,444287
B83,692189,199394
B84,37231,17655
B9,2081749,425183
B93,29,16
B98,2,2
B99,413,112
BM1,198372,16205
BM2,159663,15581
BM3,135833,13196
BM4,91269,8046
BM5,151754,17244
BX1,1468723,362465
BX10,1323539,360698
BX11,1276495,318357
BX12,1149368,299723
BX12+,3219263,864809
BX13,1265616,366509
BX15,1009678,246562
BX16,683421,194321
BX17,688546,144986
BX18A,120814,44970
BX18B,146256,46881
BX19,2358488,602649
BX2,1568907,344234
BX20,65467,26508
BX21,1082364,293320
BX22,1163303,254529
BX23,503252,178834
BX24,79199,28177
BX25,342230,100963
BX26,362822,104018
BX27,483441,137947
BX28,865256,222676
BX29,196767,79066
BX3,1413560,315458
BX30,498722,128048
BX31,730555,181517
BX32,455013,93419
BX33,187685,61878
BX34,372649,97481
BX35,1259869,306164
BX36,2233733,559479
BX38,595004,163285
BX39,1173246,276154
BX4,543190,131659
BX40,880546,241612
BX41,665905,148851
BX41+,949213,192026
BX42,854527,237955
BX46,34564,15978
BX4A,429686,119267
BX5,824608,222666
BX6,1046128,299012
BX6+,1159074,338352
BX7,2060315,475547
BX8,619739,144043
BX9,2498943,608516
BX90,539,247
BX95,91,30
BXM1,298872,24854
BXM10,411013,43001
BXM11,251675,26404
BXM18,39609,6177
BXM2,145960,17213
BXM3,138955,14858
BXM4,83352,10664
BXM6,154920,21594
BXM7,594650,94017
BXM8,420637,54092
BXM9,422106,52215
J90,1106,364
L92,1875,668
M1,2200211,423949
M10,878501,205242
M100,1318122,295422
M101,3593749,820294
M102,2207767,470173
M103,2088763,446045
M104,1666936,372319
M106,346330,106799
M11,2429851,429485
M116,1203818,338550
M12,301261,63241
M125,1147792,378137
M14A+,1453101,385597
M14D+,2748066,733530
M15,4100967,767615
M15+,6133858,1097507
M2,1787885,340721
M20,386128,85618
M21,251644,53167
M22,314457,66164
M23+,2014877,546779
M3,2485052,515149
M31,2211328,493465
M34+,1307324,319269
M34A+,1283641,281633
M35,57257,27208
M4,3060816,581598
M42,2145896,537687
M5,1443203,310965
M50,487220,135682
M55,466319,117981
M57,1448872,385393
M60+,1898773,531292
M66,1424834,430206
M7,2198755,526891
M72,878618,232114
M79+,2083765,523063
M8,238058,57434
M86+,3306062,1006639
M9,979963,165061
M96,2542307,847725
M98,213791,36210
Q06,1334238,379246
Q07,531017,142105
Q08,1476024,355179
Q09,538814,153598
Q1,657932,212126
Q10,3235966,1001287
Q100,754412,210361
Q101,683477,184029
Q102,465352,138646
Q103,281173,81749
Q104,424222,90286
Q109,213,143
Q11,619447,206554
Q110,868833,251606
Q111,1443501,410054
Q112,705546,182588
