id,BoroName,NTAName,Bus Route ID,total_count
0,Brooklyn,Greenpoint,B62,2308
1,Brooklyn,Williamsburg,B44+,909
1,Brooklyn,Williamsburg,B62,3645
1,Brooklyn,Williamsburg,Q54,5444
10,Brooklyn,Bedford-Stuyvesant (East),B25,1620
10,Brooklyn,Bedford-Stuyvesant (East),B26,3994
10,Brooklyn,Bedford-Stuyvesant (East),B46+,13227
100,Bronx,Westchester Square,Q44+,18
101,Bronx,Throgs Neck-Schuylerville,BX5,111
102,Bronx,Pelham Bay-Country Club-City Island,BX12+,223
102,Bronx,Pelham Bay-Country Club-City Island,BX5,22
103,Bronx,Co-op City,BX12+,3268
103,Bronx,Co-op City,BX28,19709
103,Bronx,Co-op City,BX38,29878
105,Bronx,Ferry Point Park-St. Raymond Cemetery,Q44+,17
106,Bronx,Pelham Parkway-Van Nest,BX12+,455
106,Bronx,Pelham Parkway-Van Nest,BX36,5833
107,Bronx,Morris Park,BX12+,974
108,Bronx,Pelham Gardens,BX28,3684
108,Bronx,Pelham Gardens,BX28-BX38,765
110,Bronx,Hutchinson Metro Center,BX12+,2
111,Bronx,Williamsbridge-Olinville,BX28,3216
111,Bronx,Williamsbridge-Olinville,BX28-BX38,1023
111,Bronx,Williamsbridge-Olinville,BX41+,1401
112,Bronx,Eastchester-Edenwald-Baychester,BX12+,1118
112,Bronx,Eastchester-Edenwald-Baychester,BX28,2293
112,Bronx,Eastchester-Edenwald-Baychester,BX28-BX38,517
112,Bronx,Eastchester-Edenwald-Baychester,BX5,12
116,Bronx,Bronx Park,BX12+,87
116,Bronx,Bronx Park,BX19,685
116,Bronx,Bronx Park,BX28-BX38,1
116,Bronx,Bronx Park,BX41+,2
116,Bronx,Bronx Park,Q44+,211
117,Bronx,Pelham Bay Park,BX12+,3297
117,Bronx,Pelham Bay Park,BX5,118
118,Manhattan,Financial District-Battery Park City,M15+,30465
119,Manhattan,Tribeca-Civic Center,M15+,5214
12,Brooklyn,Bushwick (East),B26,6144
12,Brooklyn,Bushwick (East),Q58,483
122,Manhattan,Greenwich Village,M14+,3269
122,Manhattan,Greenwich Village,M2,530
123,Manhattan,West Village,M14+,3182
124,Manhattan,Chinatown-Two Bridges,M15+,23198
125,Manhattan,Lower East Side,M14+,6622
125,Manhattan,Lower East Side,M15+,7212
126,Manhattan,East Village,M101,4671
126,Manhattan,East Village,M14+,28587
126,Manhattan,East Village,M15+,30410
126,Manhattan,East Village,M2,141
127,Manhattan,Chelsea-Hudson Yards,M14+,1906
127,Manhattan,Chelsea-Hudson Yards,M23+,6254
127,Manhattan,Chelsea-Hudson Yards,M34+,2351
127,Manhattan,Chelsea-Hudson Yards,M42,166
128,Manhattan,Hell's Kitchen,M42,2140
129,Manhattan,Midtown South-Flatiron-Union Square,M14+,2172
129,Manhattan,Midtown South-Flatiron-Union Square,M2,1308
129,Manhattan,Midtown South-Flatiron-Union Square,M23+,2589
129,Manhattan,Midtown South-Flatiron-Union Square,M34+,9040
129,Manhattan,Midtown South-Flatiron-Union Square,M4,115
130,Manhattan,Midtown-Times Square,M2,4301
130,Manhattan,Midtown-Times Square,M34+,3171
130,Manhattan,Midtown-Times Square,M42,2103
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M14+,3198
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M15+,435
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M23+,417
131,Manhattan,Stuyvesant Town-Peter Cooper Village,M34+,8
132,Manhattan,Gramercy,M101,19002
132,Manhattan,Gramercy,M14+,15005
132,Manhattan,Gramercy,M15+,57811
132,Manhattan,Gramercy,M2,315
132,Manhattan,Gramercy,M23+,7110
132,Manhattan,Gramercy,M34+,1029
133,Manhattan,Murray Hill-Kips Bay,M101,13792
133,Manhattan,Murray Hill-Kips Bay,M15+,56754
133,Manhattan,Murray Hill-Kips Bay,M23+,36
133,Manhattan,Murray Hill-Kips Bay,M34+,8359
133,Manhattan,Murray Hill-Kips Bay,M42,864
134,Manhattan,East Midtown-Turtle Bay,M101,10415
134,Manhattan,East Midtown-Turtle Bay,M15+,31457
134,Manhattan,East Midtown-Turtle Bay,M42,456
135,Manhattan,United Nations,M15+,5578
137,Manhattan,Upper West Side (Central),M79+,16992
137,Manhattan,Upper West Side (Central),M86+,15733
138,Manhattan,Upper West Side-Manhattan Valley,M4,316
138,Manhattan,Upper West Side-Manhattan Valley,M60+,2993
139,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,M101,12110
139,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,M15+,93771
139,Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,M79+,5641
14,Brooklyn,Cypress Hills,B25,3
140,Manhattan,Upper East Side-Carnegie Hill,M101,23975
140,Manhattan,Upper East Side-Carnegie Hill,M2,2643
140,Manhattan,Upper East Side-Carnegie Hill,M79+,7665
140,Manhattan,Upper East Side-Carnegie Hill,M86+,8904
141,Manhattan,Upper East Side-Yorkville,M101,10763
141,Manhattan,Upper East Side-Yorkville,M15+,57469
141,Manhattan,Upper East Side-Yorkville,M79+,7402
141,Manhattan,Upper East Side-Yorkville,M86+,15799
142,Manhattan,Morningside Heights,M100,231
142,Manhattan,Morningside Heights,M101,7071
142,Manhattan,Morningside Heights,M4,2500
142,Manhattan,Morningside Heights,M60+,27703
143,Manhattan,Manhattanville-West Harlem,M101,15229
143,Manhattan,Manhattanville-West Harlem,M4,1848
144,Manhattan,Hamilton Heights-Sugar Hill,BX19,42395
144,Manhattan,Hamilton Heights-Sugar Hill,BX6+,3967
144,Manhattan,Hamilton Heights-Sugar Hill,M100,92
144,Manhattan,Hamilton Heights-Sugar Hill,M101,26768
144,Manhattan,Hamilton Heights-Sugar Hill,M4,2948
145,Manhattan,Harlem (South),M101,28676
145,Manhattan,Harlem (South),M2,2250
145,Manhattan,Harlem (South),M4,172
145,Manhattan,Harlem (South),M60+,38434
146,Manhattan,Harlem (North),BX19,31037
146,Manhattan,Harlem (North),BX6+,2
146,Manhattan,Harlem (North),M2,1022
147,Manhattan,East Harlem (South),M101,27623
147,Manhattan,East Harlem (South),M15+,41618
147,Manhattan,East Harlem (South),M2,2009
148,Manhattan,East Harlem (North),BX19,2
148,Manhattan,East Harlem (North),M101,30597
148,Manhattan,East Harlem (North),M15+,61373
148,Manhattan,East Harlem (North),M60+,13902
15,Brooklyn,East New York (North),B25,791
150,Manhattan,Washington Heights (South),BX35,2794
150,Manhattan,Washington Heights (South),BX36,9826
150,Manhattan,Washington Heights (South),BX6+,16100
150,Manhattan,Washington Heights (South),M100,12360
150,Manhattan,Washington Heights (South),M101,56976
150,Manhattan,Washington Heights (South),M2,1936
150,Manhattan,Washington Heights (South),M4,3085
151,Manhattan,Washington Heights (North),BX35,14570
151,Manhattan,Washington Heights (North),BX36,17414
151,Manhattan,Washington Heights (North),M100,21013
151,Manhattan,Washington Heights (North),M101,13376
151,Manhattan,Washington Heights (North),M4,1936
152,Manhattan,Inwood,BX12+,65928
152,Manhattan,Inwood,M100,9175
153,Manhattan,Highbridge Park,BX36,11
153,Manhattan,Highbridge Park,M100,99
153,Manhattan,Highbridge Park,M101,11422
153,Manhattan,Highbridge Park,M2,456
154,Manhattan,Inwood Hill Park,M100,212
155,Manhattan,Central Park,M2,6973
155,Manhattan,Central Park,M4,111
155,Manhattan,Central Park,M79+,88
155,Manhattan,Central Park,M86+,62
